X value [cm⁻¹],IR Spectrum 140/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) []
1636,4.679481506,4.649730682,0.239615127,2.897075176,5.463175774
1638,4.859945297,4.25403595,0.440077215,2.533661127,5.227116108
1640,4.443175793,3.055123329,0.583469033,1.579016447,4.798666
1642,4.419599533,2.446450233,0.643663108,1.067111254,4.602127552
1644,4.651072025,2.139688492,0.555549026,1.058719158,4.83949852
1646,4.443643093,1.893403292,0.316611588,1.733392835,5.486392498
1648,5.457472324,2.132785082,0.447416931,1.768800735,5.369001389
1650,5.823048115,2.120815754,0.491769046,1.460940123,5.055088043
1652,5.624822617,2.012314081,0.418122113,1.420881033,5.150815964
1654,6.112271309,2.858537436,0.579715192,1.879693508,5.416160583
1656,4.516420364,3.071304798,0.82738626,1.212299228,4.495894909
1658,2.522872448,3.720458984,0.969276249,0.831976831,3.317748785
1660,1.836815476,3.912734747,0.894791842,0.72072804,3.132343769
1662,1.849887609,4.259870052,0.790530384,0.785844743,2.743693352
1664,1.642876387,4.384857178,0.928417742,0.74174577,2.754488468
1666,1.632761002,3.997241735,0.89482832,0.730294406,2.88658309
1668,1.923620462,4.21677351,0.663294733,0.981040359,3.32750392
1670,2.810599804,5.274641514,0.517431915,1.443876982,4.456417084
1672,2.513345003,4.807843685,0.61404866,1.112898827,3.70298028
1674,2.842408419,4.744515419,0.560430467,1.125189066,4.144941807
1676,3.004874706,4.618820667,0.666707933,0.876953244,3.891925812
1678,2.702417612,4.106097698,0.633279562,0.84557718,3.967513561
1680,2.691488028,3.652216673,0.541134477,0.998809218,4.48230505
1682,2.714224339,3.38579011,0.455221176,1.104487896,4.650778294
1684,2.908266544,3.895853043,0.382902443,3.154903889,5.17175436
1686,3.007292271,3.506137371,0.414479136,4.051933765,5.119837284
1688,3.442026377,3.34358573,0.400882214,3.15727067,5.088797569
1690,3.545922756,3.053516388,0.439887047,3.345623016,4.826478481
1692,3.355465889,2.959868193,0.441742212,3.581939459,4.555250168
1694,3.108682632,2.809868097,0.377953827,3.29756093,4.520300865
1696,2.701461077,2.762722731,0.23452726,3.654619217,4.870094299
1698,2.497986555,2.776863575,0.185709417,3.600580215,4.835078716
1700,2.378270388,2.494876385,0.177394852,3.59662509,5.104160786
1702,2.200952768,2.219345808,0.204929367,3.580835104,4.857841492
1704,1.995497108,1.718303084,0.16648078,3.68529439,4.866702557
1706,1.964177012,1.62605834,0.17406939,3.346189022,4.652867794
1708,1.979662538,1.793462396,0.214105919,2.760419607,4.921769619
1710,1.936992049,1.649355769,0.239464581,2.564764023,5.070292473
1712,1.85196054,1.346419215,0.209153175,2.589853048,5.516361237
1714,1.738439322,1.044492126,0.124976411,2.719792604,6.716506958
1716,1.648672462,0.852569342,0.115578726,2.718436956,7.817926407
1718,1.702571988,0.849809229,0.16873017,2.719199181,6.38642025
1720,1.740887284,0.888353109,0.252613097,3.236460447,5.515761375
1722,1.70535171,0.865656614,0.244995475,3.270388365,6.198999405
1724,1.66068089,0.857625723,0.239813253,3.191519022,7.529578209
1726,1.630149841,0.842023969,0.23138155,3.03278017,8.044840813
1728,1.573516607,0.787422478,0.19474785,2.763276815,7.964633942
