,"IR Spectrum 2/O-PTIR","IR Spectrum 3/O-PTIR","IR Spectrum 4/O-PTIR","IR Spectrum 5/O-PTIR","IR Spectrum 6/O-PTIR","IR Spectrum 7/O-PTIR"
1467,2.65351915359497,3.81230401992798,1.50858938694,0.128297448158264,1.04382240772247,1.25668931007385
1469,2.37287592887878,3.65341472625732,1.30857586860657,0.168135747313499,0.988337159156799,1.17981553077698
1471,2.09284782409668,3.508633852005,1.14392220973969,0.244980543851852,0.775608658790588,1.05365335941315
1473,1.9165735244751,3.37228178977966,1.18717420101166,0.193937987089157,0.628431260585785,1.04228174686432
1475,2.13973879814148,3.22158551216125,1.38307106494904,0.177823826670647,0.658205330371857,1.00799202919006
1477,2.33691239356995,3.50832104682922,1.38856303691864,0.373076111078262,0.72107321023941,1.10804080963135
1479,2.45693492889404,3.67172622680664,1.46041548252106,0.406121671199799,0.850602328777313,1.25968325138092
1481,2.60819029808044,4.25112915039063,1.60671150684357,0.354454219341278,1.18087339401245,1.3870404958725
1483,3.27394104003906,5.26961421966553,2.0717248916626,0.363697230815887,1.38674247264862,1.7024302482605
1485,4.27349519729614,6.61549711227417,2.72078776359558,0.52369624376297,1.83385682106018,2.25703716278076
1487,5.94111251831055,9.41719722747803,3.7921679019928,0.780364811420441,2.77451753616333,3.09964084625244
1489,9.27243614196777,14.6838302612305,5.88827228546143,1.4683655500412,4.50980567932129,4.90817642211914
1491,18.2827548980713,28.6580486297607,11.6299409866333,3.74684357643127,9.28889942169189,10.045259475708
1493,21.9753856658936,34.3553428649902,14.0243864059448,4.65846967697144,11.2110872268677,12.058349609375
1495,18.7853927612305,29.1787891387939,11.8782005310059,3.77565097808838,9.28404808044434,10.1965160369873
1497,11.537784576416,17.5053653717041,7.08117628097534,2.01556277275085,5.50715732574463,5.89518547058105
1499,5.63217115402222,8.93744850158691,3.54742670059204,0.891176462173462,2.669109582901,2.76528072357178
1501,3.12186121940613,5.2339243888855,1.90928661823273,0.436389476060867,1.48805105686188,1.53004014492035
1503,2.06855440139771,3.51501107215881,1.11277294158936,0.274112820625305,0.923015236854553,1.06547546386719
1505,1.2513827085495,2.36019015312195,0.641717970371246,-0.0622317604720592,0.428834080696106,0.682479023933411
1507,0.713796257972717,1.67292523384094,-0.0826935917139053,-0.64243882894516,0.24180893599987,0.415568441152573
