,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR","O-PTIR 17/O-PTIR","O-PTIR 18/O-PTIR","O-PTIR 19/O-PTIR","O-PTIR 22/O-PTIR","O-PTIR 24/O-PTIR","O-PTIR 25/O-PTIR","O-PTIR 26/O-PTIR","O-PTIR 27/O-PTIR"
961,-0.20002381503582,-0.0166553258895874,0.2991603910923,0.0786237418651581,0.0512517988681793,0.482077062129974,0.163973286747932,1.4397668838501,0.80108517408371,-0.138115540146828,-0.0211278349161148,0.0971436202526093,0.791303098201752,0.0985127836465836,0.234956786036491,1.129967212677,-0.29454442858696,-0.140677690505981,0.0190214160829782,-0.278955906629562
963,-0.10359488427639,0.0557423569262028,0.38556757569313,0.159551978111267,0.190698981285095,0.456727802753448,0.270807236433029,1.62027990818024,0.844027936458588,-0.14699150621891,-0.00681826006621122,0.103301182389259,0.994186699390411,0.121890589594841,0.385401606559753,1.18104410171509,-0.285301715135574,-0.161484867334366,0.0910320580005646,-0.20709516108036
965,-0.111511707305908,0.201132282614708,0.503022193908691,0.228037849068642,0.283221751451492,0.525125503540039,0.383007764816284,1.71047389507294,0.857204377651215,-0.160436674952507,0.0172028169035912,0.130147531628609,1.17733871936798,0.167955175042152,0.507318198680878,1.17141115665436,-0.247109532356262,-0.132082089781761,0.174198523163795,-0.186846613883972
967,-0.129611447453499,0.370621144771576,0.527116894721985,0.269449919462204,0.385982781648636,0.645147204399109,0.515768468379974,1.70441079139709,0.96574467420578,-0.115553721785545,0.0447441935539246,0.128056183457375,1.36822998523712,0.221826985478401,0.553630173206329,1.18446373939514,-0.108612388372421,-0.150236323475838,0.25068661570549,-0.111133351922035
969,-0.096387542784214,0.480813980102539,0.539372324943542,0.27869775891304,0.478004515171051,0.748826384544373,0.598563313484192,1.69876098632813,1.10108327865601,-0.0487282015383244,0.0205268450081348,0.0797115042805672,1.4983127117157,0.300838977098465,0.590505540370941,1.193314909935,-0.0234845485538244,-0.144905656576157,0.325640857219696,-0.0045152110978961
971,-0.0181839317083359,0.561070621013641,0.611480414867401,0.34980571269989,0.50822776556015,0.815831065177917,0.642290413379669,1.79297995567322,1.19215381145477,0.0375158824026585,-0.0189010202884674,0.0347015336155891,1.57194244861603,0.339921295642853,0.645930528640747,1.23049235343933,0.018075417727232,-0.0456038415431976,0.398810416460037,0.118961825966835
973,0.0631137043237686,0.668982744216919,0.713177621364594,0.453220397233963,0.528680145740509,0.910406291484833,0.646681249141693,1.91071593761444,1.23648178577423,0.120827101171017,-0.0192514285445213,0.0224518906325102,1.67029786109924,0.37614044547081,0.690914809703827,1.28290140628815,0.139540195465088,0.107691712677479,0.422322511672974,0.228990942239761
975,0.126018017530441,0.819096267223358,0.858923733234406,0.508466124534607,0.611245095729828,1.05774927139282,0.703606903553009,2.02616596221924,1.26794362068176,0.187323153018951,0.00762192439287901,0.0304435044527054,1.76870489120483,0.399345368146896,0.786241888999939,1.35818028450012,0.252492278814316,0.201484903693199,0.419566094875336,0.286686658859253
977,0.150890901684761,0.967079102993011,1.00513517856598,0.545251309871674,0.719015896320343,1.13909542560577,0.805070161819458,2.12426614761353,1.34868979454041,0.2241570353508,0.0499887838959694,0.0556241944432259,1.85090112686157,0.394509136676788,0.879119694232941,1.46563315391541,0.339781820774078,0.235361188650131,0.424663871526718,0.332881420850754
979,0.183005332946777,1.0722564458847,1.10269868373871,0.541716694831848,0.823321580886841,1.17946994304657,0.863588392734528,2.15094542503357,1.45335793495178,0.258525490760803,0.0569211393594742,0.0778987929224968,1.93035912513733,0.377071291208267,0.930383801460266,1.54735720157623,0.421905517578125,0.287137717008591,0.488270461559296,0.347662359476089
