,"O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR"
963,-0.287198752164841,0.745829105377197,-0.219847410917282,-0.044099997729063,0.33739310503006,-0.0122779104858637,0.949348926544189,-0.0618447177112103,-0.363387376070023,0.0259034018963575,0.601837277412415,0.0723951160907745,1.2243105173111,0.101152956485748,-0.15328374505043,0.551175117492676,0.818839430809021,1.80139684677124,-0.00115106406155974
965,-0.285230815410614,0.814996540546417,-0.225571900606155,0.0829395353794098,0.724190890789032,-0.0138262808322906,1.03624475002289,-0.0739796757698059,-0.328212887048721,0.13247337937355,0.623450517654419,0.0575810074806213,1.39571523666382,0.195265397429466,-0.102889664471149,0.814525544643402,0.717864334583282,2.04824805259705,0.221821457147598
967,-0.206472545862198,0.864566206932068,-0.150654509663582,0.0519947037100792,0.879888951778412,-0.0572716630995274,1.26425135135651,-0.0634926930069923,-0.3153215944767,0.201973393559456,0.578153371810913,-0.106565773487091,1.51749050617218,0.249637573957443,-0.0659785643219948,1.01886343955994,0.651939749717712,2.330646276474,0.280492752790451
969,-0.0941238030791283,0.922676503658295,-0.0474892072379589,-0.0473022051155567,0.823167562484741,-0.154846236109734,1.48939883708954,-0.0918644666671753,-0.375447988510132,0.340251594781876,0.476555436849594,-0.219126805663109,1.62600684165955,0.368273764848709,-0.13387568295002,1.16479325294495,0.570523679256439,2.48931741714478,0.280193388462067
971,0.00555153703317046,0.99572092294693,0.0398666150867939,-0.0948759317398071,0.886465430259705,-0.173296347260475,1.67138743400574,-0.107553854584694,-0.353724718093872,0.299451112747192,0.467501074075699,-0.218305960297585,1.69233655929565,0.418636411428452,-0.169634535908699,1.36220097541809,0.531481564044952,2.65663552284241,0.316725730895996
973,0.109626591205597,1.03544199466705,0.140073552727699,-0.125519320368767,1.04427337646484,-0.133982673287392,1.7741152048111,-0.034304104745388,-0.242084532976151,0.251365900039673,0.606570482254028,-0.228327259421349,1.65607476234436,0.459471821784973,-0.0408295840024948,1.56866419315338,0.541834056377411,2.88097810745239,0.404438257217407
975,0.18891566991806,1.12692642211914,0.21365150809288,-0.106725752353668,1.1948709487915,-0.1804219186306,1.88980436325073,0.0293683893978596,-0.0530077181756496,0.347753167152405,0.839588642120361,-0.144253253936768,1.62330746650696,0.45423036813736,-0.031496025621891,1.70974659919739,0.558301329612732,3.07790040969849,0.643466413021088
977,0.215207144618034,1.22616446018219,0.22317561507225,-0.0519189648330212,1.36552834510803,-0.18523895740509,1.96173524856567,0.0431906133890152,0.0490746162831783,0.454374015331268,0.982140064239502,-0.0746106430888176,1.59218621253967,0.514793038368225,-0.0212163403630257,1.76079273223877,0.634544610977173,3.1974835395813,0.888287007808685
979,0.177445441484451,1.26484251022339,0.255167007446289,-0.0279398504644632,1.46431839466095,-0.150972634553909,1.96937906742096,0.0516717098653316,0.159898027777672,0.519688546657562,0.970356523990631,0.00554333627223969,1.60093426704407,0.557419955730438,-0.010103540495038,1.75339162349701,0.63401859998703,3.23851132392883,1.07010233402252
981,0.169045701622963,1.33291804790497,0.34900763630867,-0.0405799448490143,1.55413556098938,-0.0547851137816906,1.94866037368774,0.10227607190609,0.274681150913239,0.59341299533844,0.946475803852081,0.072010338306427,1.65481054782867,0.519375205039978,0.00512457359582186,1.81282496452332,0.537844717502594,3.21879005432129,1.16553628444672
983,0.248981833457947,1.40652632713318,0.45021003484726,-0.0804012417793274,1.60624063014984,0.0228320229798555,1.90597319602966,0.191894546151161,0.370396316051483,0.693118393421173,1.00762474536896,0.0472468100488186,1.8308230638504,0.484881788492203,0.0128830699250102,1.91072571277618,0.448683649301529,3.23117995262146,1.25940048694611
985,0.330954879522324,1.42091238498688,0.510281980037689,-0.052617572247982,1.63443124294281,0.0794426947832108,1.83240795135498,0.21247923374176,0.398010790348053,0.811447203159332,1.14105594158173,-0.000828552234452218,1.97463881969452,0.508883774280548,0.0208995901048183,2.02437663078308,0.416563004255295,3.40054750442505,1.41598737239838
987,0.333916068077087,1.45332789421082,0.5114506483078,0.0554882809519768,1.61419224739075,0.117297768592834,1.77246487140656,0.226098999381065,0.382490992546082,0.89046972990036,1.25380074977875,0.0334017649292946,1.98085224628448,0.573499083518982,-0.0133963748812675,2.08751201629639,0.435176819562912,3.59977841377258,1.57500827312469
989,0.333343237638474,1.48268926143646,0.495960265398026,0.146057173609734,1.63406622409821,0.0771233066916466,1.78787922859192,0.285529375076294,0.40070641040802,0.95633465051651,1.3147257566452,0.0751668736338615,1.95243906974792,0.665419578552246,-0.0294331591576338,2.10005140304565,0.477882087230682,3.69819903373718,1.75438189506531
991,0.340057373046875,1.53615915775299,0.525991141796112,0.196281403303146,1.71963810920715,-0.00180983194150031,1.83608746528625,0.331165641546249,0.464916378259659,1.00069940090179,1.33448588848114,0.0911392420530319,1.92707192897797,0.726405024528503,-0.0270124413073063,2.19480538368225,0.536146104335785,3.66031527519226,1.94526529312134
993,0.385715842247009,1.58175480365753,0.552920520305634,0.238417699933052,1.80623078346252,-0.0461013950407505,1.88946878910065,0.347155898809433,0.513277769088745,1.02316784858704,1.37606370449066,0.178436651825905,1.93312346935272,0.703907430171967,-0.0440620481967926,2.39762735366821,0.588302552700043,3.59828066825867,2.14595985412598
995,0.437011331319809,1.63711738586426,0.557892680168152,0.242053374648094,1.87689352035522,-0.100073039531708,1.92881155014038,0.38699072599411,0.544115126132965,1.05735778808594,1.45168364048004,0.286767095327377,2.05033755302429,0.692680478096008,-0.0594959147274494,2.56667304039001,0.59869110584259,3.54798436164856,2.3377411365509
997,0.489106595516205,1.69270491600037,0.577334344387054,0.242783278226852,2.01469492912292,-0.0638885200023651,2.04410243034363,0.501235663890839,0.567639410495758,1.17504632472992,1.49322557449341,0.428781241178513,2.19377374649048,0.705167829990387,0.0375305637717247,2.67788696289063,0.586634457111359,3.55892968177795,2.54507350921631
999,0.586878716945648,1.75174522399902,0.621806561946869,0.315643578767776,2.27965426445007,0.0308056864887476,2.23746657371521,0.638029992580414,0.614252209663391,1.2861008644104,1.52581465244293,0.552241861820221,2.34329962730408,0.707797765731812,0.0597026273608208,2.78642797470093,0.639154255390167,3.64862132072449,2.72395086288452
1001,0.725948750972748,1.8448052406311,0.666940331459045,0.419129252433777,2.49658679962158,0.135760754346848,2.46536636352539,0.722809016704559,0.702063083648682,1.37931764125824,1.56693065166473,0.641554117202759,2.49629259109497,0.726749420166016,0.0875091850757599,2.91589856147766,0.684155941009521,3.86509418487549,2.91446089744568
1003,0.836085140705109,1.95984649658203,0.721747040748596,0.475810468196869,2.63310098648071,0.207754626870155,2.626793384552,0.830052435398102,0.84827446937561,1.50485360622406,1.65393435955048,0.668377101421356,2.60394811630249,0.763686895370483,0.185845643281937,3.04947447776794,0.72177928686142,4.1841893196106,3.19969844818115
