,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR"
1319,1.10133516788483,1.64404249191284,0.771971225738525,0.514739274978638,1.47812724113464,1.19529092311859,2.22996187210083,2.2155773639679,1.52708256244659,1.41011965274811,0.733574211597443,0.63663637638092
1321,1.10416686534882,1.61508202552795,0.763711869716644,0.505725502967834,1.4727189540863,1.18196773529053,2.20497632026672,2.19819450378418,1.52408730983734,1.41699290275574,0.742358148097992,0.646443367004395
1323,1.10729336738586,1.58652663230896,0.759592473506927,0.500464558601379,1.47043490409851,1.17757034301758,2.18363380432129,2.19594383239746,1.52998745441437,1.43218874931335,0.738524556159973,0.648300409317017
1325,1.1123343706131,1.56354868412018,0.750000178813934,0.498030602931976,1.45316529273987,1.17018616199493,2.15716409683228,2.19578766822815,1.52418220043182,1.45440566539764,0.741162180900574,0.652701497077942
1327,1.11328446865082,1.55192923545837,0.738839685916901,0.503791511058807,1.43019759654999,1.15527749061584,2.13628935813904,2.19751024246216,1.51014053821564,1.465571641922,0.739329636096954,0.652205467224121
1329,1.11766946315765,1.55150270462036,0.720461905002594,0.508192956447601,1.41299104690552,1.12378072738647,2.12394952774048,2.20194625854492,1.50078582763672,1.45521903038025,0.732752919197083,0.650900483131409
1331,1.1175389289856,1.56145989894867,0.7095747590065,0.505851626396179,1.40460538864136,1.10310125350952,2.10860896110535,2.20687365531921,1.49659717082977,1.43155646324158,0.731792271137238,0.654745161533356
1333,1.09907495975494,1.57608222961426,0.707049369812012,0.485572695732117,1.39976763725281,1.08690869808197,2.09949111938477,2.2215747833252,1.48717749118805,1.41522288322449,0.730784177780151,0.650930643081665
1335,1.07304430007935,1.58664047718048,0.702364504337311,0.467043519020081,1.39696276187897,1.0746738910675,2.08931875228882,2.23836350440979,1.47846949100494,1.40464472770691,0.732042670249939,0.63681572675705
1337,1.04710793495178,1.59469830989838,0.698050439357758,0.465989530086517,1.40904211997986,1.06661701202393,2.06823992729187,2.23993611335754,1.47070014476776,1.40546572208405,0.728867709636688,0.622505009174347
1339,1.03268885612488,1.59682905673981,0.70410692691803,0.474441915750504,1.41371595859528,1.06009364128113,2.05713605880737,2.22886300086975,1.45873010158539,1.41284728050232,0.715778052806854,0.615394175052643
1341,1.02635061740875,1.60166501998901,0.705236196517944,0.475488841533661,1.40957164764404,1.05199193954468,2.06112313270569,2.21989703178406,1.44303870201111,1.41673958301544,0.696088135242462,0.615702927112579
1343,1.0199818611145,1.61063992977142,0.70585161447525,0.472158581018448,1.40750443935394,1.04650330543518,2.06074357032776,2.20933771133423,1.43569457530975,1.41049420833588,0.670289099216461,0.623329877853394
1345,1.02845764160156,1.6172297000885,0.708988308906555,0.467908829450607,1.40766727924347,1.05843782424927,2.05818223953247,2.20661354064941,1.43436563014984,1.40852081775665,0.640282511711121,0.632346987724304
1347,1.05053067207336,1.61034846305847,0.710711240768433,0.463499456644058,1.41370391845703,1.06990003585815,2.06071901321411,2.22035717964172,1.44603073596954,1.41436457633972,0.62416011095047,0.637511909008026
1349,1.06660497188568,1.60376048088074,0.708667933940887,0.462146461009979,1.42760276794434,1.07212340831757,2.06205630302429,2.23726391792297,1.45512807369232,1.4318939447403,0.629393398761749,0.632631421089172
1351,1.06721603870392,1.61719965934753,0.71447879076004,0.460164189338684,1.44509410858154,1.06215846538544,2.06517362594604,2.24733924865723,1.44959807395935,1.44900298118591,0.645163595676422,0.623165130615234
1353,1.06990468502045,1.64418065547943,0.731216192245483,0.460687756538391,1.45603919029236,1.06582283973694,2.07445526123047,2.25368666648865,1.44899821281433,1.46077597141266,0.659922897815704,0.627972602844238
1355,1.07905447483063,1.6673686504364,0.757183909416199,0.467671096324921,1.46508467197418,1.08168435096741,2.09009552001953,2.27422761917114,1.46186232566833,1.47089433670044,0.678543090820313,0.645255565643311
1357,1.09305989742279,1.68348264694214,0.772903442382813,0.470030009746552,1.47805678844452,1.10654532909393,2.10329556465149,2.3043520450592,1.46968448162079,1.49331200122833,0.70246434211731,0.656901180744171
1359,1.10501372814178,1.70273888111115,0.771584808826447,0.461192935705185,1.49133729934692,1.12186777591705,2.12363362312317,2.34844946861267,1.47557270526886,1.5196179151535,0.710037291049957,0.659832298755646
1361,1.12960433959961,1.74636900424957,0.767478585243225,0.469395190477371,1.53813552856445,1.12760365009308,2.16396546363831,2.40586376190186,1.50172388553619,1.54446864128113,0.71389776468277,0.669805347919464
1363,1.17674720287323,1.80949521064758,0.771376848220825,0.493961334228516,1.60002291202545,1.13908350467682,2.23211264610291,2.48973655700684,1.54345178604126,1.57332170009613,0.721659898757935,0.695956647396088
1365,1.22628903388977,1.88103318214417,0.779123306274414,0.519879758358002,1.6533055305481,1.16757524013519,2.30734729766846,2.57551050186157,1.58455502986908,1.61135065555573,0.733110785484314,0.735742449760437
