,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR"
1191,0.0907342880964279,-0.092132955789566,1.40836346149445,0.540217638015747,0.194815307855606,1.45268726348877,2.03207325935364,3.52103734016418,1.48122465610504,0.0832338556647301,0.803023636341095,3.67380928993225,0.555706143379211,1.7613730430603,0.416270017623901,0.716742873191833
1193,0.105174027383327,-0.0926491767168045,1.41202139854431,0.540712833404541,0.179098933935165,1.40226101875305,1.99083590507507,3.47151494026184,1.42909073829651,0.062389113008976,0.814013063907623,3.63830518722534,0.540214419364929,1.71993720531464,0.378624588251114,0.732711732387543
1195,0.10408528149128,-0.0776261016726494,1.39937198162079,0.511882245540619,0.142360910773277,1.40953397750854,1.97338664531708,3.42568588256836,1.38870871067047,0.0401823036372662,0.835227489471436,3.56364917755127,0.536756813526154,1.65813267230988,0.339502304792404,0.732320010662079
1197,0.0735278055071831,-0.0665080845355988,1.39016783237457,0.473186790943146,0.103780090808868,1.4623498916626,1.94474387168884,3.35495114326477,1.32448768615723,0.0175786502659321,0.856004774570465,3.49864721298218,0.533260583877563,1.60280895233154,0.295722603797913,0.703521132469177
1199,0.0315405838191509,-0.0573704764246941,1.40482532978058,0.443795770406723,0.0790647119283676,1.50454795360565,1.90942418575287,3.30014157295227,1.2170068025589,0.00464035104960203,0.848351836204529,3.49387001991272,0.544795870780945,1.59363269805908,0.236594676971436,0.656031250953674
1201,0.0171399116516113,-0.0498164147138596,1.43001067638397,0.423288643360138,0.0505696795880795,1.46643424034119,1.8745276927948,3.26114511489868,1.13212788105011,0.00704887043684721,0.802068531513214,3.51735067367554,0.53288209438324,1.5876704454422,0.175322458148003,0.619226276874542
1203,0.0217209495604038,-0.064935103058815,1.45805668830872,0.394114196300507,0.0290237925946712,1.41493093967438,1.83731257915497,3.24191045761108,1.05487906932831,0.037822924554348,0.750648856163025,3.52799344062805,0.493441432714462,1.57050144672394,0.15766179561615,0.584235787391663
1205,0.0542846769094467,-0.0773336961865425,1.48021447658539,0.342253386974335,0.036450669169426,1.38944256305695,1.78232479095459,3.24394798278809,0.962952971458435,0.0713328421115875,0.687725961208344,3.48142528533936,0.444562017917633,1.52510023117065,0.183371961116791,0.576085269451141
1207,0.109740123152733,-0.110298223793507,1.49089908599854,0.318687915802002,0.0729715749621391,1.38802444934845,1.71799528598785,3.26485776901245,0.891180098056793,0.0577802956104279,0.604785561561584,3.39324164390564,0.42699122428894,1.44385576248169,0.221056789159775,0.584908723831177
1209,0.0860397964715958,-0.108963944017887,1.47003734111786,0.346649527549744,0.160265401005745,1.45979988574982,1.64837265014648,3.27314019203186,0.810067653656006,0.0581371001899242,0.548215806484222,3.28619265556335,0.467602461576462,1.39072227478027,0.237883731722832,0.546985507011414
