,O-PTIR 1/O-PTIR,O-PTIR 2/O-PTIR,O-PTIR 3/O-PTIR,O-PTIR 4/O-PTIR,O-PTIR 5/O-PTIR,O-PTIR 6/O-PTIR,O-PTIR 7/O-PTIR,O-PTIR 8/O-PTIR,O-PTIR 9/O-PTIR,O-PTIR 10/O-PTIR,O-PTIR 11/O-PTIR,O-PTIR 12/O-PTIR,O-PTIR 13/O-PTIR,O-PTIR 14/O-PTIR,O-PTIR 15/O-PTIR,O-PTIR 16/O-PTIR,O-PTIR 17/O-PTIR,O-PTIR 18/O-PTIR,O-PTIR 19/O-PTIR,O-PTIR 20/O-PTIR,,,
1073,2.970172405,0.899330258,0.539826274,0.632698119,0.002398557,0.268457323,1.203287959,0.12269108,0.774289787,0.178202599,0.729910374,0.805294394,0.515105307,0.332742035,0.940123916,0.466211647,0.639014661,0.402644813,0.78408587,1.086013079,,,
1075,2.945110083,0.885910273,0.545880437,0.641554892,0.009742424,0.262369841,1.200404406,0.115288228,0.7621364,0.188871846,0.71182251,0.761199951,0.502219379,0.316849291,0.936552703,0.488030881,0.623176098,0.38827607,0.770236552,1.078190088,,,
1077,2.97258687,0.834396124,0.556517422,0.657454789,0.010447925,0.264656723,1.20282805,0.115446627,0.75834322,0.18361105,0.704081595,0.724000931,0.481325358,0.296255231,0.907178342,0.494690865,0.592246652,0.380074054,0.759789824,1.07022202,,,
1079,3.019239426,0.778390706,0.553521693,0.675012112,0.00701495,0.283033252,1.174778938,0.118750289,0.767155707,0.156874597,0.688347757,0.70207721,0.470277369,0.281621128,0.871351361,0.495571554,0.562238693,0.377144843,0.75795722,1.055924654,,,
1081,3.030694962,0.730847418,0.549080133,0.680525482,0.004888786,0.293737948,1.131244659,0.115784667,0.756677926,0.135792047,0.685177028,0.689279199,0.475036591,0.281601816,0.843686998,0.492237598,0.5430125,0.381132424,0.747952402,1.036299229,,,
1083,3.045148373,0.70343262,0.546882987,0.662872851,-0.002905186,0.288982838,1.107140064,0.098307669,0.735954046,0.126982972,0.690500438,0.67752111,0.475495785,0.283561528,0.825625956,0.480931669,0.534516811,0.388708532,0.748521984,1.045055032,,,
1085,3.0654037,0.69920969,0.534585595,0.639581025,-0.001416441,0.272218406,1.10238111,0.097735599,0.727824032,0.110629126,0.691575289,0.679458082,0.469022065,0.284264714,0.818093479,0.48392868,0.542179942,0.383123755,0.760193706,1.066975832,,,
1087,3.031310797,0.702874601,0.528173447,0.63014549,-0.00198626,0.256469667,1.114391565,0.107328363,0.736067295,0.09965238,0.695018709,0.689249933,0.457859159,0.282602847,0.807085991,0.488909513,0.54865247,0.368411064,0.758274198,1.072690129,,,
1089,2.961671591,0.726513207,0.534656823,0.631563842,-0.006294438,0.258827895,1.12639904,0.123498268,0.749160171,0.113353007,0.698928058,0.705143213,0.454924345,0.280377179,0.78936404,0.485854864,0.543568373,0.353699118,0.73980993,1.060872674,,,
1091,2.893490076,0.764153779,0.540184557,0.63750571,-0.016310934,0.265778005,1.131374955,0.132359624,0.751984417,0.128350273,0.705359876,0.70318538,0.45909974,0.273227483,0.785704255,0.487761348,0.535063207,0.342099071,0.72841841,1.052598476,,,
1093,2.909809828,0.806669414,0.545638263,0.636357665,-0.028464755,0.264202625,1.12575984,0.131367341,0.745162189,0.142508537,0.702882051,0.679992795,0.452716976,0.263920009,0.793170631,0.49254331,0.536971331,0.334856927,0.738329589,1.04707706,,,
1095,2.979196548,0.839079976,0.557107151,0.643799305,-0.025890805,0.257840842,1.130255342,0.133584946,0.742205441,0.153815776,0.703561783,0.665499687,0.438111663,0.249984026,0.794768929,0.498639762,0.549686134,0.334989965,0.757536292,1.041199446,,,
1097,3.030326605,0.865068793,0.565903068,0.647729039,-0.013331719,0.2576074,1.154271841,0.132465884,0.753552854,0.161423326,0.715951085,0.690590858,0.439224571,0.24317883,0.809921741,0.499615014,0.570477366,0.339892834,0.77455318,1.047870994,,,
1099,3.123987198,0.891661704,0.566361606,0.641055763,0.013956532,0.256612122,1.182522535,0.131244987,0.769278049,0.160799012,0.756300867,0.728883564,0.45910114,0.237524226,0.82478708,0.490510523,0.584148884,0.347812504,0.787177801,1.058763146,,,
1101,3.245954752,0.926659584,0.570207715,0.636224627,0.025862858,0.253197521,1.199243903,0.140274867,0.785429716,0.151944339,0.78739059,0.761474669,0.476575643,0.229188651,0.849501908,0.518769681,0.584020734,0.358372003,0.78725642,1.06033659,,,
1103,3.359187365,0.988665521,0.577061534,0.634351552,0.018202748,0.261353523,1.222338438,0.153050557,0.800768971,0.159829274,0.794358194,0.800777614,0.477547467,0.235411242,0.904474914,0.562563837,0.584438205,0.366499037,0.794851482,1.064810634,,,
1105,3.446911812,1.067828655,0.588371158,0.625246286,0.016811123,0.274651706,1.249215245,0.184878454,0.822165251,0.191261739,0.809499025,0.859211087,0.477881193,0.227804735,0.948477328,0.589340448,0.593807578,0.378995687,0.808720648,1.080479026,,,
1107,3.497741461,1.13370502,0.605080187,0.614650011,0.03199343,0.280258954,1.285624266,0.228568792,0.848645866,0.235271275,0.842981756,0.921133637,0.499377668,0.216340631,0.979824424,0.606194496,0.610620618,0.4093211,0.829912126,1.110211015,,,
